ABCB4	0	2	2	0.3	0.1	11	0.7	2	0	2
ABCB5	0.1	0.1	0	0	0.1	0.1	0.3	0.1	0.1	0.1
ABCB6	6	0.8	0.3	4	6	1	1	1	3	1
ABCB7	57	35	46	48	53	67	45	36	19	61
ABCB8	15	9	13	14	34	9	12	9	15	12
ABCB9	1	0.5	0.5	1	3	2	2	2	3	2
ABCC1	56	44	62	137	135	49	42	36	243	73
ABCC10	22	5	5	8	18	4	12	16	18	10
ABCC11	0.2	0	0	0.1	0.1	0.1	0.1	0.2	0.2	0.2
ABCC13	0	0	0	0	0	0	0.1	0.6	0	0.4
ABCC2	5	0.5	0.4	0.2	2	0.7	1	0.6	0.3	1
ABCC3	17	0.1	0.1	0.1	0.3	0	0.3	1	0.2	0.3
ABCC4	62	6	25	13	15	22	32	12	14	27
ABCC5	10	2	4	6	30	20	40	5	10	15
ABCC5-AS1	0	0	0	0	0.5	0	0.2	0	0	0.1
ABCC6	0.1	0.3	0.1	1	0.6	0.1	0.4	7	1	0.6
ABCC6P1	0	0	0	0	0.1	0	0.1	1	0	0
ABCC6P2	0.1	0	0	0	0	0	0	1	0	0
ABCC8	0	0	0	3	0.1	0	0.1	0	0	0
ABCC9	2	2	1	4	3	1	2	2	0.9	3
ABCD1	36	2	4	6	16	5	20	68	15	15
ABCD1P2	0	0	0	0	0.3	0	0.3	0	0	0.8
ABCD1P3	0	0	0	0	0.1	0	0.1	0	0	0.1
ABCD1P4	0	0	0	0	0	0	0.3	0	0	0.8
ABCD1P5	0	0	0	0	0.3	0	0.6	0	0	0.8
ABCD2	0	6	5	0	0.2	3	2	0.9	0	0.2
ABCD3	61	28	24	16	58	39	12	24	24	26
ABCD4	13	11	8	13	25	11	16	15	16	28
ABCE1	132	153	204	103	201	159	81	56	93	120
ABCF1	491	79	168	131	121	130	91	73	151	123
ABCF2	167	121	196	77	139	104	111	86	84	88
ABCF2P1	0	0	0	0.1	0	0	0	0	0	0
ABCF2P2	0	0	0	0	0.2	0	0	0	0.3	0
ABCF3	45	17	43	35	55	35	37	39	43	43
ABCG1	0.2	1	0.4	9	24	5	0.8	0.9	0.2	0.6
ABCG2	2	0.1	20	0.8	0.8	3	0.1	0.1	4	0.1
ABCG4	0.1	0	0	0.3	0.5	0.1	0	0.1	0	0.2
ABCG5	0	0	0	0	0	0	0.2	0	0	0
ABCG8	0	0	0	0	0.1	0	0.1	0	0	0.1
ABHD1	0.2	0.6	0.3	1	1	0.2	0.9	0.8	0.2	2
ABHD10	38	28	50	53	67	56	76	35	46	53
ABHD11	33	20	23	16	20	6	17	28	19	12
ABHD11-AS1	4	4	0.3	0.6	0.6	0.6	0.4	2	2	0.5
ABHD12	55	23	31	54	48	29	42	68	61	33
ABHD12B	0.2	0.1	0.1	0.2	0.2	0.9	5	0.9	1	3
ABHD13	18	13	21	11	26	22	29	10	11	18
ABHD14A	3	6	4	15	10	5	13	22	13	24
ABHD14A-ACY1	0.3	0.4	0.2	0.4	0.7	0.2	2	0.6	0.3	3
ABHD14B	47	50	31	97	56	32	131	50	150	97
ABHD15	11	59	10	35	21	20	32	49	23	24
ABHD15-AS1	0	0	0	0	0	0	0.4	0	0	0
ABHD16A	6	2	2	2	9	8	7	15	6	9
ABHD17A	18	18	9	16	60	15	39	54	66	32
ABHD17AP1	0.9	0.2	0.2	0	0.5	0	0.4	0.5	0.1	0.1
ABHD17AP3	0.1	0	0.1	0	0.2	0	0.3	0.8	0	0.3
ABHD17AP4	0	0	0	0	0.4	0	0.4	0	0	1
ABHD17AP5	0.3	0.7	0.5	0.9	0.4	0	0.1	11	0.4	0.4
ABHD17AP6	0	0	0	0	0.2	0	0.2	6	0	0.1
ABHD17B	36	63	22	14	90	136	23	37	55	56
ABHD17C	17	35	12	17	11	30	5	18	0.4	19
ABHD18	6	12	12	12	20	19	12	11	11	19
ABHD2	41	17	16	15	40	20	20	37	54	30
ABHD3	24	29	24	68	33	31	25	28	9	23
ABHD4	17	3	7	5	11	87	3	6	15	15
ABHD5	33	11	10	6	21	12	10	9	16	11
ABHD6	9	10	3	12	13	7	3	6	5	7
ABHD8	13	4	17	12	23	5	6	26	17	25
ABI1	77	90	45	110	79	127	44	30	84	96
ABI1P1	0	0.4	0.1	0.2	0.1	0	0.2	0.1	0	0
ABI2	15	3	7	6	24	20	4	5	8	9
ABI3	0	1	0	4	11	9	0.7	1	53	0.1
ABI3BP	0.1	0.1	0	0.1	0	0.1	0.1	0.1	0.2	0.2
ABITRAM	21	22	24	23	30	25	23	22	15	27
ABITRAMP1	0	0	0	0	0.2	0	0	0	0	0
ABL1	164	65	47	24	103	129	36	50	117	60
ABL2	83	16	13	11	18	15	15	8	24	14
ABLIM1	0.5	18	110	239	112	28	0.1	0	22	5
ABLIM2	0.7	6	0	0.1	2	0.1	0.1	0.6	0.2	0.2
ABLIM3	9	0	0	0.1	0.1	0	0	0.2	0	0.1
ABO	0	0	0	0.1	0.1	0	0.2	0	0	0
ABR	77	38	20	28	32	0.4	44	41	94	6
ABRA	0	0	0	0	0	0.1	0.1	0	0	0
ABRACL	53	112	328	71	308	297	168	300	99	296
ABRAXAS1	5	9	3	7	11	16	11	3	13	21
ABRAXAS2	42	49	44	50	53	49	38	21	54	60
ABT1	89	34	49	56	63	50	44	26	44	33
ABT1P1	0	0.3	0	0	0.3	0	0.2	0	0	0.2
ABTB1	5	4	4	9	11	4	13	12	12	20
ABTB2	31	0.4	46	26	4	0.7	2	14	52	15
ACAA1	13	20	18	17	37	17	17	26	17	29
ACAA2	37	118	73	85	30	39	36	15	0.2	47
ACACA	20	35	28	44	71	43	45	43	37	42
ACACB	3	1	0.4	9	8	0.1	5	13	0.1	12
ACAD10	8	6	5	7	14	12	24	21	16	15
ACAD11	0.5	0.1	0.2	0.7	0.7	0.4	0.6	0.2	1	0.9
ACAD8	9	4	16	14	57	23	17	18	15	21
ACAD9	36	36	34	27	66	41	42	56	50	45
ACADM	39	112	137	119	126	112	45	91	47	61
ACADS	10	0.5	0.2	19	30	8	23	25	48	21
ACADSB	21	12	20	21	26	26	9	5	18	15
ACADVL	359	88	34	23	211	181	193	137	173	137
ACAN	0.1	0	0	0	0	0	0.1	0	0	0.1
ACAP1	1	23	9	14	141	33	1	4	76	4
ACAP2	22	24	23	14	38	33	38	24	45	43
ACAP2-IT1	1	1	0.2	2	8	3	7	3	3	7
ACAP3	8	8	2	4	62	18	25	22	16	24
ACAT1	65	30	63	58	58	102	37	49	55	85
ACAT2	106	70	91	171	144	107	41	44	15	58
ACBD3	86	48	76	70	68	100	62	88	48	40
ACBD3-AS1	1	2	0.6	1	3	0.6	2	1	1	2
ACBD4	6	4	4	9	11	4	12	10	10	7
ACBD5	60	18	18	28	32	28	14	6	17	48
ACBD6	25	25	25	23	33	22	43	22	23	23
ACBD7	11	1	0.3	10	32	23	3	2	1	4
ACCS	5	0	0.3	3	0.2	15	12	48	9	22
ACD	33	49	38	46	58	47	24	34	21	30
ACE	0	0	0.1	0.5	0.3	0.8	0.3	2	108	1
ACER1	0.2	0.5	0.3	0.6	2	0.4	0.9	0.3	0.4	0.9
ACER2	3	1	2	0.6	10	6	4	6	1	2
ACER2P1	0.1	0	0.2	0	0	1	0.6	0	0	0.1
ACER3	32	5	12	8	15	9	15	7	28	13
ACHE	1	0.1	7	0.3	0.3	0	0.3	0	0.1	0.3
ACIN1	91	103	78	71	212	118	129	130	122	163
ACKR1	0	0	0	0.7	0	0	0.1	0	0	0
ACKR2	0.1	0.2	0	0.2	0.2	0.4	0.3	4	0.1	0.4
ACKR3	0.4	0	6	24	6	3	3	1	0	1
ACKR4	0.1	0.2	0.2	0.7	0.6	0.5	0.6	0.1	0.2	0.7
ACKR4P1	0	0	0.3	0	0	0	0	0.1	0	0
ACLY	190	351	349	443	436	483	261	306	320	239
ACMSD	0.1	0.1	0.2	0	0.5	0.2	0.3	0.4	0.1	0.5
ACO1	74	20	8	9	37	11	11	18	20	18
ACO2	69	97	123	124	105	82	102	113	138	93
ACOD1	0	0	0	0.1	0	0	0	0	0	0
ACOT1	24	3	6	4	0.1	3	3	17	7	8
ACOT11	2	0.4	0.3	1	2	0.5	1	11	8	14
ACOT12	0.1	0.4	0	0	0	0.1	0	0.1	0	0
ACOT13	38	17	26	34	28	23	18	6	27	30
ACOT2	82	11	29	28	0.1	10	15	42	61	33
ACOT4	25	2	26	9	0	0.1	0	16	0	1
ACOT6	0.2	0	0	0	0	0	0	0.1	0	0.1
ACOT7	116	101	111	106	168	71	28	41	97	52
ACOT8	8	12	19	16	19	12	16	28	8	12
ACOT9	89	61	49	20	0.8	33	17	15	20	14
ACOX1	15	14	23	30	31	24	15	15	35	53
ACOX2	1	0	0	0	0	0	0.1	0.3	13	0.1
ACOX3	14	19	16	28	22	19	19	24	22	14
ACOXL	0	0	0	3	0.4	0.1	0.2	0.3	0.6	0.1
ACOXL-AS1	0	0.1	0	0.8	0.1	0	0.1	0.2	0	0
ACP1	113	78	76	91	144	112	103	65	79	93
ACP2	65	2	5	18	24	7	7	22	27	10
ACP3	0	0	0	11	0	0.3	7	19	0	7
ACP4	0.5	5	0.5	0.5	3	0.7	1	0.9	0.2	1
ACP5	0.1	0.1	0.1	3	0.3	0.3	0.4	1	0.2	0.3
ACP6	4	2	0.1	8	6	4	4	3	2	9
ACP7	0	0	0	0	0.2	0	0.2	0	0	0.2
ACR	0.2	0	0	0.1	0.1	0	0	0	0.3	1
ACRBP	0.3	1	0.5	0.3	2	0.3	19	13	0.2	1
ACRP1	0.1	0	0	0	0.1	0	0	0	0	0.1
ACRV1	1	1	2	1	2	3	0.9	1	1	1
ACSBG1	0.1	0.1	0.2	0.9	0.6	0	0.1	0.2	0.1	0.3
ACSBG2	0.4	0.3	0.1	0.2	1	0.2	0.6	1	0.3	0.4
ACSF2	3	21	2	22	11	25	2	10	25	36
ACSF3	5	13	8	22	86	9	15	17	19	15
ACSL1	31	20	19	19	11	5	78	20	16	23
ACSL3	98	40	54	28	47	75	48	50	31	14
ACSL3-AS1	1	0.4	0	0.6	1	0.9	0.2	0.2	0	0
ACSL4	205	82	38	55	60	70	71	41	60	53
ACSL5	0.1	59	0.2	54	0.6	68	41	26	66	61
ACSL6	0	0	0	0.2	7	0	0.1	0	0.1	0.1
ACSL6-AS1	0	0	0	0	0.1	0	0	0	0	0.1
ACSM1	0	1	0	0.1	0	0.2	5	0.3	0	0.1
ACSM2B	0	0	0	0	0	0	0.1	0	0	0
ACSM3	0.2	10	0.1	2	0.2	0.5	37	2	0.2	1
ACSM4	0.5	0.2	0	0	0.1	5	0.9	2	0	0
ACSM5	0	0	0	0	0	0	0	0.8	0	0
ACSM6	0.1	0	0	0.2	0	0	0	0	0	0
ACSS1	0.4	38	0	4	52	56	44	12	52	34
ACSS2	14	4	2	4	3	19	17	31	25	25
ACSS3	0	0	0	0	0	0	0.6	2	0	0
ACTA1	0.2	0	0.1	0.3	0.5	0.1	0.3	0.3	0	1
ACTA2	3	2	10	0.9	4	0.8	2	0.8	39	2
ACTA2-AS1	0.8	0.4	0.3	0.4	2	0.2	0.1	0	0.1	1
ACTB	10760	7505	945	3362	5788	4365	3462	7934	8722	1977
ACTBP1	0	0	0	0	0.1	0	0.1	0	0	0.1
ACTBP11	0	0	0.1	0	0.1	0	0	0.1	0	0.1
ACTBP12	0.1	0	0	0	0.7	4	0.4	0.6	0.2	11
ACTBP14	0.1	0	0	0	0.1	0	0.1	0	0	0.3
ACTBP15	0	0	0	0	0.1	0	0.8	0.2	0.2	0.5
ACTBP2	0.1	0	0	0	0	0	0	0.1	0	0
ACTBP7	0.1	0	0	0	0.1	0	0.1	0	0	0.1
ACTBP8	0.1	0	0	0	0	0	6	0.1	0	0.1
ACTC1	0.1	0	0	0	0	0	0.1	0	0	0
ACTE1P	0.4	0.8	0.3	0.4	3	0.7	1	0.6	0.3	0.8
ACTG1	5044	4957	13980	2661	2927	3264	4083	4309	2329	4462
ACTG1P1	0.3	2	0.7	0.3	0.5	2	0.9	1	0.5	0.3
ACTG1P10	0.4	0	1	2	5	1	2	0.4	0.4	0.6
ACTG1P14	0.2	0.2	0.4	0.3	0.7	0.4	0.9	0.7	0.2	0.4
ACTG1P15	0	0.2	0	0.2	0.6	0	0.4	0.1	0.3	0.4
ACTG1P16	0	0.2	0.2	0	0.1	0.2	0.2	0.2	0	0.1
ACTG1P17	0.3	1	0.6	1	2	0.5	1	0.7	0.5	1
ACTG1P19	0	0	0	0	0	0	0.2	0	0	0.4
ACTG1P20	3	2	3	0.7	6	5	3	5	1	5
ACTG1P22	0	0	0.1	0	0	0	0	0	0	0
ACTG1P24	0.5	0.5	0	0.6	3	0.4	2	0.6	0.3	0.4
ACTG1P25	0.4	0.4	0.1	1	0.4	0.1	0.2	1	0.2	3
ACTG1P3	0.8	0.2	0.3	0.6	2	0.4	2	0.3	0.5	0.6
ACTG1P9	0.1	0.1	0.1	0.1	0.1	0	0.1	0.1	0	0.2
ACTG2	2	0.1	1	0	2	0	0.1	0.2	0	0.1
ACTL11P	0	0.1	0	0.3	0.2	0	0.1	0	0	0.2
ACTL6A	117	67	148	115	135	134	90	96	94	94
ACTL6B	0	0	0	0.1	0.2	0	0.2	0	0	0.2
ACTL7A	0	0	0	0	0.1	0	0.1	0	0	0.1
ACTL7B	0	0	0	0	0.2	0	0.1	0	0	0
ACTL8	0.3	0.1	0	1	0.2	0.1	1	0.2	0.2	15
ACTN1	712	0.3	5	18	44	45	85	217	98	62
ACTN1-AS1	4	0	0	0.2	0.1	0	0.3	0.6	0	0.6
ACTN2	0	0	2	0.1	0.2	0.1	2	0.3	0	0.2
ACTN3	0.1	0.1	3	0.3	0.4	0.1	0.1	0	0	0.2
ACTN4	546	194	195	68	111	286	142	329	305	113
ACTN4P1	0.7	0	0.3	0.1	0.1	0	0.1	0.4	0.1	0
ACTP1	0	0	0	0	0.1	0	0.2	0	0	0
ACTR10	55	43	42	36	36	21	30	31	30	26
ACTR1A	200	100	87	83	152	114	45	37	151	83
ACTR1AP1	0.1	0	0	0	0	0	0	0	0	0
ACTR1B	23	56	47	44	72	68	96	92	74	83
ACTR2	715	742	528	545	518	893	1052	685	839	546
ACTR3	119	121	227	63	128	142	151	110	145	97
ACTR3B	4	8	8	4	7	5	4	5	6	10
ACTR3BP2	0	0	0	0	0	0	0.1	0	0	0.1
ACTR3BP4	0	0	0	0	0	0	0.1	0	0	0.1
ACTR3C	0.1	2	0.7	2	2	1	0.3	0.3	1	0.7
ACTR3P3	0	0	0	0	0	0	0.1	0	0	0
ACTR5	25	21	16	22	29	18	26	21	22	21
ACTR6	24	30	39	44	38	42	19	16	19	16
ACTR8	30	39	53	42	40	33	41	23	42	32
ACTRT1	0	0	0	0	0	0	0.1	0	0	0
ACTRT1P1	0	0	0	0	0	0	0.1	0	0	0
ACTRT3	6	0.9	1	1	2	0.1	0	3	3	2
ACVR1	35	5	0.1	3	10	9	6	5	21	1
ACVR1B	11	10	2	5	25	26	28	14	14	14
ACVR1C	0	0	0	0	0	0.4	0.1	0.8	0	0
ACVR2A	5	1	3	1	1	0.2	0.7	1	3	2
ACVR2B	4	0.1	2	3	26	7	8	3	6	12
ACVR2B-AS1	1	0	0.1	0.9	6	0.8	1	0.8	1	1
ACVRL1	0	0	0	0	0	1	1	8	7	0.1
ACY1	4	7	2	4	3	1	17	10	7	21
ACY3	0	0.5	13	4	5	4	1	3	5	16
ACYP1	24	34	47	37	54	16	21	17	15	15
ACYP2	5	5	5	3	4	4	3	7	5	4
ADA	32	34	0.6	5	1347	89	57	22	114	43
ADA2	0.1	18	1	3	45	2	37	37	6	103
ADAD1	0	0	0	0	0	0	0.1	0	0	0
ADAD2	0	0	0	1	0.2	0	0	0	0	0
ADAL	9	9	0	6	20	3	9	6	0	0.1
ADAM10	31	30	11	50	58	48	30	31	80	36
ADAM11	2	0.2	2	2	2	0.9	3	6	47	3
ADAM12	2	0	3	0	0	0	0	0.1	0.5	6
ADAM15	66	9	12	18	12	23	64	148	53	86
ADAM17	50	27	23	30	30	52	32	34	27	28
ADAM19	32	77	0	119	1	0.5	0.2	1	0	0
ADAM1B	0.4	0.7	0.3	0.5	0.8	0.5	1	0.7	0.3	0.9
ADAM2	0	0.1	0.5	0	0.1	0	0	0	0	0
ADAM20	0	0	0	0.7	0.1	0	0.1	0	0	0.1
ADAM20P1	0.1	0	0	0.1	0.2	0.1	0.3	0.1	0.2	0.3
ADAM21	0.1	0	0	0.5	0.4	0.3	0.2	0.2	1	0.1
ADAM21P1	0	0	0	0	0.1	0	0	0	0	0.1
ADAM22	1	5	6	6	16	4	2	3	4	7
ADAM23	5	0.2	0	1	0.1	3	0.1	0.3	0	0
ADAM28	0.1	5	0.2	0	0	0.1	0.1	1	19	0.2
ADAM29	0	2	0.1	1	0	0	0	0	0	0
ADAM32	1	24	1	0.8	0.8	0.4	1	1	0.1	6
ADAM33	0.1	0	0	0	1	3	0	0.1	0	0.1
ADAM3A	0.1	0.7	0.1	0.2	0.2	0.1	0.1	0.2	0.1	0.2
ADAM5	0	0.1	0	0	0	0	0	0	0	0
ADAM8	2	1	20	4	4	2	5	1	171	8
ADAM9	148	54	15	3	18	29	22	21	6	19
ADAMDEC1	0	0.2	0.2	0	0	0	0.4	1	0.8	0
ADAMTS1	0.1	0.1	0.1	0.1	17	0	3	8	0.1	2
ADAMTS10	7	0	0	0	9	0	0.9	3	22	0.7
ADAMTS12	0.3	0	0	0	0.1	0	0	0.1	0	0
ADAMTS13	1	0.2	0.8	1	5	0.7	7	4	3	5
ADAMTS14	0.6	0	0	1	0	0	0.1	0.4	28	0.1
ADAMTS15	16	0	0	0	1	0	0.1	6	0	7
ADAMTS16	0	0	1	0	0.2	0.1	0	0	0	0.1
ADAMTS17	0.4	0	0	0.1	9	0.1	0.4	2	0	2
ADAMTS18	0.1	4	0	0	0.1	0	1	0	0	0
ADAMTS19	0	0	0	0	11	0.1	0	0	0	1
ADAMTS19-AS1	0	0	0	0	10	0	0	0.1	0	0.7
ADAMTS2	21	0	0.1	0.1	0.1	0	3	42	0.4	1
ADAMTS20	0	0	0	0	0	0.1	0	0	0	0
ADAMTS3	2	0	0	0	0.1	0	0	0.5	0	28
ADAMTS4	0.2	0.2	0.1	0.4	0.5	0.1	1	2	0.1	0.8
ADAMTS5	0	0	0	0	0	0	1	0.1	0	0.1
ADAMTS6	5	1	0.2	14	3	2	0.2	0.3	0	0.6
ADAMTS7	3	0.1	0.3	6	0.7	0	0.1	0.2	0.3	4
ADAMTS7P1	0.1	0	0	0	8	0	0	0	0	0.1
ADAMTS7P3	0.1	0	0	0	0.1	0	0	0	0	0.1
ADAMTS7P4	1	0.8	0	2	1	0.1	0	0	0.1	0.1
ADAMTS8	13	0.1	0	0	0.1	0	0.1	1	0	0.8
ADAMTS9	0	0	0	0	0	19	0.1	0.4	0	0
ADAMTS9-AS1	0	0	0	0	0	3	0	0	0	0
ADAMTS9-AS2	0	0	0	0	0	0.1	0	0	0	0
ADAMTSL1	0	0	0	0	0.2	0.8	0	0	0	0
ADAMTSL2	0.2	0.2	0.1	0.1	0.2	0.2	0.2	0.8	0.1	3
ADAMTSL3	1	1	0.6	2	2	0.6	2	0.7	0.5	1
ADAMTSL4	44	0.2	0.1	0.3	0.4	0.1	2	42	2	52
ADAMTSL4-AS1	0.4	0.3	0.2	0.8	0.3	0.1	0.3	0.2	0	0.2
ADAMTSL4-AS2	9	0	0	0	0.5	0	1	8	0	9
ADAMTSL5	12	0	0.7	2	8	0	3	4	3	0.3
ADAP1	0.3	0	22	0.1	1	1	8	29	23	3
ADAP2	1	0.1	0.1	4	0.1	0.8	2	6	3	1
ADAR	216	255	445	175	364	123	208	242	245	164
ADARB1	14	8	0.5	2	32	3	20	6	6	5
ADARB2	0.3	4	0	0	0.2	0	0.1	0	7	0.4
ADARB2-AS1	0	0.4	0	0.4	0	6	0	0	0.2	3
ADAT1	31	25	12	25	59	38	25	21	28	15
ADAT2	6	5	7	8	23	18	38	15	4	39
ADAT3	6	7	2	6	11	2	4	10	21	4
ADCK1	8	8	7	8	7	5	8	8	5	6
ADCK2	38	21	41	54	79	29	10	56	48	44
ADCK5	10	10	7	12	13	15	30	32	31	15
ADCY1	0.1	0	4	1	8	0.1	0.3	15	0	0.2
ADCY10	0.3	0	0	0	0.2	0.1	0.2	0	0	0
ADCY10P1	2	0.9	0.7	0.9	7	2	3	1	0.8	10
ADCY2	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.1	0	0.1
ADCY3	41	30	100	52	41	55	14	35	37	57
ADCY4	0	0.1	0.3	0.6	0.3	0	0.7	3	1	1
ADCY5	0.1	0.1	0.1	3	0.1	0.1	0.2	0.1	0	0.3
ADCY6	6	0	0	1	0.2	69	0.6	4	38	10
ADCY6-DT	0.1	0	0	0.3	0.2	1	0.1	0	0.3	0.2
ADCY7	0.5	8	9	6	44	7	17	28	91	0.8
ADCY9	30	2	0.1	3	4	11	19	80	0.5	4
ADCYAP1	0	0	0	0	19	0	0	0	0	0.1
ADCYAP1R1	0	0	0	0	0	0	0.1	0	0	0
ADD1	61	21	33	19	78	53	35	50	79	36
ADD2	0.1	0.1	0.1	8	3	0	1	21	0	0.1
ADD3	34	60	29	24	106	49	22	5	50	53
ADD3-AS1	0.1	0	0	0.1	0.2	0.1	0.1	0	0	0.2
ADGB	0	0	0	0	0	0	0.1	0.2	0	0
ADGRA2	0.5	0.2	0.1	0	15	2	31	171	42	32
ADGRA3	36	0.9	0	0.4	33	70	5	20	0.2	27
ADGRB1	0.1	0	0.1	0.2	0.5	0	3	3	0.7	97
ADGRB2	18	1	24	3	25	0.1	0.1	0.2	0	0
ADGRB3	0	0.1	0.3	0.3	0	0	0	0.8	0.1	0
ADGRD1	0	0	0	0	0	0.2	0.3	0.5	0	0.8
ADGRD1-AS1	0	0	0	0.5	0.1	0	0	0	0	0
ADGRD2	0.2	0	0.1	0.1	0.3	0.1	0.3	0.6	0.1	6
ADGRE1	22	0	0	8	2	0.1	1	2	2	0.2
ADGRE2	0.9	0	0.1	0.1	2	7	2	3	19	2
ADGRE3	0	0.2	0	0	0.1	0	0.3	0	0.5	0.1
ADGRE4P	0.1	0.1	0	0.1	0.1	0	3	3	0.1	0.1
ADGRE5	60	27	75	6	29	43	54	64	89	45
ADGRF1	0.1	0	0	0	0.1	0.1	0.1	0.1	0	0
ADGRF2	0	0	0.1	0	0.1	0.1	0.1	0	0.1	0.1
ADGRF3	0.1	1	0.4	0.9	4	1	1	2	0.3	1
ADGRF4	0	0	0.3	0	0	0	0	0	0	0
ADGRF5	0	0	0	0	0	0	0.2	0.2	0	0.1
ADGRF5-AS1	0	0	0	0	0.1	0	0	0	0	0
ADGRF5P1	0	0	0.2	0	0	0	0	0	0	0
ADGRG1	45	0	0.2	0.5	5	3	0.1	0	150	0.4
ADGRG2	2	0.2	0.1	0.2	0.3	0.2	0.3	0.2	0.1	0.3
ADGRG3	0	0	0	0.1	0.8	0.1	0.9	0.1	9	0.1
ADGRG4	0	0	0	0.1	0	0	0	0	0	0
ADGRG5	0	0.2	0.3	11	0.2	3	0.7	22	137	0.6
ADGRG6	143	0	4	1	0	0	0.1	3	0	0.1
ADGRL1	9	1	0.6	51	69	12	7	34	78	35
ADGRL1-AS1	2	5	1	2	17	6	6	9	5	11
ADGRL2	0	0.3	0	0	0.1	0	0.1	94	0	0
ADGRL3	0	0	0	0	0	0	1	35	0	3
ADGRL3-AS1	0	0	0	0	0	0	0.1	0	0	0
ADGRL4	0	0	1	0	0	0	0	0	0	0
ADGRV1	0.1	0.1	0	0.1	0.1	0.1	0.1	0	0	0
ADH1A	0.1	0	0	0	0.1	0	0	0	0	0.1
ADH1B	0	0	0	0.1	0.1	0.1	0.1	0	0	0.1
ADH1C	0	0	0	0.2	0.1	0	0	0	0.1	0
ADH4	0	0	0.1	0	0.1	0	0.1	0	0	0
ADH5	171	107	74	88	143	83	75	83	86	99
